# timestamp tx ty tz qx qy qz qw
1403636620.7635558 0.0 0.0 0.0 0.04505081617603996 0.7936184880352317 0.0 -0.606745514536816
1403636620.8135555 -2.8098186254953204e-05 7.808584445366767e-05 -6.74663617102963e-05 0.04504967881364605 0.7936047114079748 -9.179116535203609e-05 -0.6067636113382496
1403636620.8635557 -1.8948274165535217e-05 0.0002033236236113576 -0.00011675164429428912 0.04505512876023496 0.7936064002184554 -7.543491909891774e-05 -0.6067610000768644
1403636620.9135556 -5.264456259802701e-05 0.0002751003628539179 -0.0001659828551989279 0.04509554154359214 0.7936028989150572 -0.00012515540436021301 -0.6067625691344453
1403636620.9635556 -0.00015079712769511578 0.0003513230234081952 -0.00022292738322948383 0.045115482195621004 0.7936322029759423 -8.901001586971036e-05 -0.6067227634950138
1403636621.0135555 -0.0002730412819340461 0.00040917612563532926 -0.00031941937538217823 0.04510634296812873 0.7936854558125569 -0.0001070635456167567 -0.6066537757181212
1403636621.0635557 -0.00044086520975304114 0.0005428656159221547 -0.00037533766711138344 0.04481825932432102 0.7936312234215075 0.00035228563260515726 -0.6067459771077613
1403636621.1135554 -0.0006050328894399201 0.00028093394724748474 -0.0004751463195807101 0.04506884333744912 0.793653124575813 -0.0002039002944979884 -0.6066988343782636
1403636621.1635556 -0.0008854560458472378 0.0002395172001892066 -0.0006140572081147685 0.044724275117122736 0.7936597990373956 0.0002373165446588694 -0.6067155892904239
1403636621.2135556 -0.0012416386143880144 3.162501577642e-05 -0.0007866076485005932 0.04499742515517478 0.793593509271988 -9.876633623324395e-05 -0.6067821388406109
1403636621.2635558 -0.0016537520519622714 1.6495223521718753e-05 -0.0009641378674579975 0.0447923730042444 0.7936654259712953 0.00023250643158824935 -0.6067032065839196
1403636621.3135555 -0.0021620797660365934 -0.00013183887398709982 -0.0011613055310946505 0.045004650739191146 0.7936716667864709 -9.078081644961001e-05 -0.6066793704347232
1403636621.3635557 -0.0026622034331358598 -9.053137048261628e-05 -0.0013380393174496608 0.044845477796046807 0.7936578897682391 0.00015439264922654229 -0.606709166976056
